cid,datahead,dataurl,creator,contributor,corp
689,  【統計情報】町丁別世帯数及び人口報告書  【三鷹市】各月１日現在の町丁別世帯数及び人口のデータです。 ,/dataset/t132047d0000000006,三鷹市,市民部市民課庶務・年金係 庶務担当,三鷹市 市民部市民課庶務・年金係 庶務担当
690,  【統計情報】住民基本台帳からみた三鷹市の人口  【三鷹市】住民基本台帳からみた三鷹市の人口の掲載データです。 ,/dataset/t132047d0000000005,三鷹市,市民部市民課庶務・年金係 庶務担当,三鷹市 市民部市民課庶務・年金係 庶務担当
691,  世帯と人口（年齢別）  【練馬区】毎月1日現在の男女別人口を、年齢別に掲載しています。   ※平成29年4月分から、データの更新頻度を年に一度（毎年1月1日時点）から月に一度（毎月1日時点）に変更しました。 ,/dataset/t131202d0000000004,練馬区,区民部戸籍住民課,練馬区 区民部戸籍住民課
692,  世帯と人口（町丁目別・年齢別）  【練馬区】毎月1日現在の男女別人口を、町丁目別・年齢別に掲載しています。   ※平成29年4月分から、データの更新頻度を年に一度（毎年1月1日時点）から月に一度（毎月1日時点）に変更しました。 ,/dataset/t131202d0000000003,練馬区,区民部戸籍住民課,練馬区 区民部戸籍住民課
693,  世帯と人口（町丁目別）  【練馬区】毎月1日現在の男女別人口と世帯数を、町丁目別に掲載しています。 ,/dataset/t131202d0000000002,練馬区,区民部戸籍住民課,練馬区 区民部戸籍住民課
694,  世帯と人口（総括表）  【練馬区】毎月1日現在の男女別総人口と世帯数を掲載しています。 ,/dataset/t131202d0000000001,練馬区,区民部戸籍住民課,練馬区 区民部戸籍住民課
695,  地域・年齢別人口（令和5年10月1日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000157,大田区,大田区区民部戸籍住民課,大田区 大田区区民部戸籍住民課
696,  人口に関すること  【稲城市】 ,/dataset/t132250d0000000003,稲城市,市民課,稲城市 市民課
697,  地域・年齢別人口  【江東区】地域・年齢別人口です。 ,/dataset/t131083d0000000025,江東区,区民課,江東区 区民課
698,  文京区居住環境等移動理由別人口調査  【文京区】　文京区の人口移動理由と居住環境の関連性を目的とした調査資料です。 ,/dataset/t131059d0603010002,文京区,区民部区民課,文京区 区民部区民課
699,  国勢調査  【文京区】　文京区の国勢調査結果報告人口等基本集計結果です。 ,/dataset/t131059d0603010001,文京区,区民部区民課,文京区 区民部区民課
700,  区立公園・児童遊園・遊び場一覧  【文京区】　文京区の区立公園・児童遊園・遊び場の一覧です。 ,/dataset/t131059d0509040001,文京区,土木部みどり公園課,文京区 土木部みどり公園課
701,  幼稚園  【文京区】　文京区の幼稚園の一覧です。 ,/dataset/t131059d0213010001,文京区,教育委員会,文京区 教育委員会
702,  保育園  【文京区】　文京区の保育園の一覧です。 ,/dataset/t131059d0206080001,文京区,子ども家庭部幼児保育課,文京区 子ども家庭部幼児保育課
703,  病児・病後児保育ルーム  【文京区】　文京区の病児・病後児保育ルームの一覧です。 ,/dataset/t131059d0206070004,文京区,子ども家庭部子育て支援課,文京区 子ども家庭部子育て支援課
704,  子ども・乳幼児ショートステイ  【文京区】　文京区の子どもショートステイ・乳幼児ショートステイの一覧です。 ,/dataset/t131059d0206070003,文京区,子ども家庭部子育て支援課,文京区 子ども家庭部子育て支援課
705,  キッズルーム（一時保育）  【文京区】　文京区のキッズルーム（一時保育）の一覧です。 ,/dataset/t131059d0206070002,文京区,子ども家庭部子育て支援課,文京区 子ども家庭部子育て支援課
706,  地域子育て支援拠点（子育てひろば等）  【文京区】　文京区の地域子育て支援拠点（子育てひろば等）の一覧です。 子育てひろばの事業説明URL http://www.city.bunkyo.lg.jp/kyoiku/kosodate/nakama/kosodatehiroba.html 地域団体による地域子育て支援拠点... ,/dataset/t131059d0206070001,文京区,子ども家庭部子育て支援課,文京区 子ども家庭部子育て支援課
707,  国勢調査による総合支所別・町丁目別面積、昼夜間人口等  【港区】国勢調査に基づく情報です。 ,/dataset/t131032d0000000020,港区,産業・地域振興支援部地域振興課,港区 産業・地域振興支援部地域振興課
708,  年齢別人口  【昭島市】住民基本台帳による年齢別人口です。 ,/dataset/t132071d0000000006,昭島市,昭島市市民部市民課,昭島市 昭島市市民部市民課
709,  人口動態統計  【東京都保健医療局】 ,/dataset/t000055d0000000349,東京都保健医療局,総務部総務課統計調査担当,東京都保健医療局 総務部総務課統計調査担当
710,  地震がくる前に子どものためにできること  【東京都福祉局】新潟県中越地震の体験談等を活用した、妊婦と乳幼児の保護者向けの防災パンフレットを作成しました。 ,/dataset/t000054d0000000065,東京都福祉局,子供・子育て支援部家庭支援課母子保健担当,東京都福祉局 子供・子育て支援部家庭支援課母子保健担当
711,  都内区市町村の妊婦・乳幼児に関連した防災対策調査結果  【東京都福祉局】 ,/dataset/t000054d0000000064,東京都福祉局,子供・子育て支援部家庭支援課母子保健担当,東京都福祉局 子供・子育て支援部家庭支援課母子保健担当
712,  乳幼児の事故防止教育ハンドブック  【東京都福祉局】 ,/dataset/t000054d0000000063,東京都福祉局,子供・子育て支援部家庭支援課母子保健担当,東京都福祉局 子供・子育て支援部家庭支援課母子保健担当
713,  保育施設等・子育て支援サービス紹介  【東京都福祉局】電子版父親ハンドブックの保育施設等・子育て支援サービス紹介 ,/dataset/t000054d0000000062,東京都福祉局,子供・子育て支援部家庭支援課子育て事業担当,東京都福祉局 子供・子育て支援部家庭支援課子育て事業担当
714,  児童相談所のしおり―2018年（平成30年）版―  【東京都福祉局】 ,/dataset/t000054d0000000061,東京都福祉局,児童相談センター事業課,東京都福祉局 児童相談センター事業課
715,  要支援家庭の把握と支援のための母子保健事業のガイドライン  【東京都福祉局】このガイドラインは、母子保健事業の機会を活用して要支援家庭の早期発見・予防を効果的に行うことを目的に、平成17年度に作成したものです。 ,/dataset/t000054d0000000060,東京都福祉局,子供・子育て支援部家庭支援課母子保健担当,東京都福祉局 子供・子育て支援部家庭支援課母子保健担当
716,  【市政情報全般】三鷹を考える論点データ集  三鷹市を考える論点データ集の掲載データです。 ,/dataset/t132047d0000000017,三鷹市,企画部企画経営課企画調整係,三鷹市 企画部企画経営課企画調整係
717,  地域・年齢別人口（令和5年4月1日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000151,大田区,大田区区民部戸籍住民課,大田区 大田区区民部戸籍住民課
718,  新宿区の平成31年町丁別世帯数及び男女別人口情報  【新宿区】年月毎の町丁別世帯数及び男女別人口情報です。 ,/dataset/t131041d0000000044,新宿区,地域振興部地域コミュニティ課,新宿区 地域振興部地域コミュニティ課
719,  新宿区の平成29年度保育園子ども園（認可）一覧  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000050,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
720,  新宿区の平成29年度保育園子ども園（認証）一覧(2017年7月時点)  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000109,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
721,  新宿区の平成29年度保育園子ども園（認証）一覧(2017年7月時点)  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000108,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
722,  新宿区の平成29年度保育園子ども園（認証）一覧(2017年11月時点)  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000104,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
723,  新宿区の平成31年度保育園子ども園（認可）一覧  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000106,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
724,  新宿区の平成30年度保育園子ども園（認可）一覧  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000105,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
725,  新宿区の令和2年度保育園子ども園（認可）一覧  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000102,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
726,  新宿区の令和3年度保育園子ども園（認可）一覧  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000103,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
727,  新宿区の令和5年町丁別世帯数及び男女別人口情報  【新宿区】年月毎の町丁別世帯数及び男女別人口情報です。 ,/dataset/t131041d0000000107,新宿区,地域振興部地域コミュニティ課,新宿区 地域振興部地域コミュニティ課
728,  新宿区の令和4年町丁別世帯数及び男女別人口情報  【新宿区】年月毎の町丁別世帯数及び男女別人口情報です。 ,/dataset/t131041d0000000092,新宿区,地域振興部地域コミュニティ課,新宿区 地域振興部地域コミュニティ課
729,  【予算・決算】予算情報  三鷹市の予算に係る詳細データです。 ,/dataset/t132047d0000000010,三鷹市,企画部財政課,三鷹市 企画部財政課
730,  【予算・決算】固定資産情報  三鷹市の固定資産台帳の掲載データです。 ,/dataset/t132047d0000000012,三鷹市,企画部財政課,三鷹市 企画部財政課
731,  杉並区統計書　令和2年（2020年）版　3　国勢調査  【杉並区】 ,/dataset/t131156d0000000115,杉並区,区民生活部管理課,杉並区 区民生活部管理課
732,  杉並区統計書　令和2年（2020年）版　2　人口  【杉並区】 ,/dataset/t131156d0000000114,杉並区,区民生活部管理課,杉並区 区民生活部管理課
733,  令和3年　町丁別世帯数及び人口  【杉並区】 ,/dataset/t131156d0000000103,杉並区,区民生活部区民課,杉並区 区民生活部区民課
734,  令和3年　各歳別人口  【杉並区】 ,/dataset/t131156d0000000102,杉並区,区民生活部区民課,杉並区 区民生活部区民課
735,  杉並区統計書（平成30年版）　3　国勢調査  【杉並区】 ,/dataset/t131156d0000000066,杉並区,区民生活部管理課,杉並区 区民生活部管理課
736,  人口統計_町丁別・年齢別人口 （2020年度）  【東京都国立市】町丁別・年齢別人口データです。 ,/dataset/t132152d0000000009,国立市,政策経営課情報システム係,国立市 政策経営課情報システム係
737,  人口統計_町丁別・年齢別人口（2021年度）  【東京都国立市】町丁別・年齢別人口データです。 ,/dataset/t132152d0000000008,国立市,政策経営課情報システム係,国立市 政策経営課情報システム係
738,  人口統計_町丁別・年齢別人口（2022年度）  【東京都国立市】町丁別・年齢別人口データです。 ,/dataset/t132152d0000000007,国立市,政策経営課情報システム係,国立市 政策経営課情報システム係
739,  大田区データ概要【外国人数の推移・国籍】  区政ファイルデータ ,/dataset/t131113d0000000146,大田区,,大田区 
740,  大田区データ概要【年代別人口】  区政ファイルデータ ,/dataset/t131113d0000000145,大田区,,大田区 
741,  大田区データ概要【面積・人口】  区政ファイルデータ ,/dataset/t131113d0000000144,大田区,,大田区 
742,  用途地域別面積と割合  区政ファイルデータ ,/dataset/t131113d0000000057,大田区,大田区まちづくり推進部 都市計画課,大田区 大田区まちづくり推進部 都市計画課
743,  自治会・町会の数  区政ファイルデータ ,/dataset/t131113d0000000056,大田区,大田区地域力推進部 地域力推進課,大田区 大田区地域力推進部 地域力推進課
744,  人口動態(自然・社会増減)  区政ファイルデータ ,/dataset/t131113d0000000055,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
745,  外国人住民数の推移  区政ファイルデータ ,/dataset/t131113d0000000052,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
746,  国籍別外国人住民の数  区政ファイルデータ ,/dataset/t131113d0000000051,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
747,  大田区の面積・人口・世帯数  区政ファイルデータ ,/dataset/t131113d0000000048,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
748,  特別出張所別の人口と世帯数  区政ファイルデータ ,/dataset/t131113d0000000050,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
749,  23区の面積と人口  区政ファイルデータ ,/dataset/t131113d0000000049,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
750,  地域・年齢別人口（令和５年１月１日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000046,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
751,  地域・年齢別人口（令和４年１０月１日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000045,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
752,  地域・年齢別人口（令和４年７月１日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000035,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
753,  地域・年齢別人口（令和４年４月１日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000034,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
754,  地域・年齢別人口（令和４年１月１日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000030,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
755,  地域・年齢別人口（令和３年10月１日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000023,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
756,  地域・年齢別人口（令和３年７月１日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000019,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
757,  地域・年齢別人口（令和３年４月１日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000016,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
758,  2か所以上の出張所に管轄がまたがっている町（丁目）の人口一覧表（令和３年３月１日現在）  【大田区】住民基本台帳による特別出張所毎の世帯と人口です。 ,/dataset/t131113d0000000007,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
759,  住民基本台帳世帯人口現況表（蒲田地区）（令和３年３月１日現在）  【大田区】住民基本台帳による特別出張所毎の世帯と人口です。 ,/dataset/t131113d0000000006,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
760,  住民基本台帳世帯人口現況表（調布地区）（令和３年３月１日現在）  【大田区】住民基本台帳による特別出張所毎の世帯と人口です。 ,/dataset/t131113d0000000005,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
761,  住民基本台帳世帯人口現況表（大森地区）（令和３年３月１日現在）  【大田区】住民基本台帳による特別出張所毎の世帯と人口です。 ,/dataset/t131113d0000000004,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
762,  住民基本台帳による大田区の世帯と人口（令和３年３月１日現在）  【大田区】住民基本台帳による世帯と人口です。 ,/dataset/t131113d0000000003,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
763,  地域・年齢別人口（令和３年１月１日現在）  【大田区】住民基本台帳による年齢別人口です。 ,/dataset/t131113d0000000002,大田区,大田区区民部 戸籍住民課,大田区 大田区区民部 戸籍住民課
764,  保育施設一覧  渋谷区の保育施設一覧の情報です。 ,/dataset/t131130d0000000007,渋谷区,子ども家庭部保育課,渋谷区 子ども家庭部保育課
765,  【行政資料集】人口  【港区】人口についての情報です。 ,/dataset/t131032d0000000026,港区,産業・地域振興支援部地域振興課,港区 産業・地域振興支援部地域振興課
766,  【事業案内】みたかシティバス時刻表  【三鷹市】みたかシティバスの各ルートの時刻表のデータです。 ,/dataset/t132047d0000000021,三鷹市,都市整備部都市交通課交通安全係,三鷹市 都市整備部都市交通課交通安全係
767,  【位置情報】公衆無線LANアクセスポイント一覧  【三鷹市】公衆無線LANアクセスポイントの一覧データです。 ,/dataset/t132047d0000000018,三鷹市,企画部情報推進課,三鷹市 企画部情報推進課
768,  【事業案内】三鷹市内の認可保育園等一覧  【三鷹市】保育園等入園案内に掲載している認可保育所等一覧のデータです。 ,/dataset/t132047d0000000013,三鷹市,子ども政策部子ども育成課保育施設係,三鷹市 子ども政策部子ども育成課保育施設係
769,  【統計情報】福祉業務統計年報  【三鷹市】福祉業務統計年報の掲載データです。 ,/dataset/t132047d0000000009,三鷹市,健康福祉部地域福祉課地域福祉係,三鷹市 健康福祉部地域福祉課地域福祉係
770,  【位置情報】公共施設の位置情報  【三鷹市】　三鷹市わがまちマップに掲載されている公共施設の位置（ポイント）のデータです。 ,/dataset/t132047d0000000001,三鷹市,企画部情報推進課,三鷹市 企画部情報推進課
771,  【事業案内】公園・緑地等の一覧  【三鷹市】三鷹市内の公園の一覧です。 ,/dataset/t132047d0000000016,三鷹市,都市整備部緑と公園課,三鷹市 都市整備部緑と公園課
772,  地域・年齢別人口  豊島区が公開しているデータ（オープンデータ）をご覧いただけます。 ,/dataset/t131164d0000000012,豊島区,,豊島区 
773,  東京都統計年鑑　令和２年　2人口・世帯  【東京都総務局】 ,/dataset/t000003d0000000417,東京都総務局,統計部調整課,東京都総務局 統計部調整課
774,  東京都統計年鑑 平成25年 人口・世帯  【東京都総務局】 ,/dataset/t000003d0000000001,東京都総務局,統計部調整課,東京都総務局 統計部調整課
775,  東京都区市町村別人口の予測  【東京都総務局】 ,/dataset/t000003d0000000039,東京都総務局,統計部人口統計課,東京都総務局 統計部人口統計課
776,  東京都男女年齢(５歳階級)別人口の予測  【東京都総務局】 ,/dataset/t000003d0000000040,東京都総務局,統計部人口統計課,東京都総務局 統計部人口統計課
777,  東京都統計年鑑 平成26年 人口・世帯  【東京都総務局】 ,/dataset/t000003d0000000046,東京都総務局,統計部調整課,東京都総務局 統計部調整課
778,  東京都統計年鑑 平成27年 人口・世帯  【東京都総務局】 ,/dataset/t000003d0000000047,東京都総務局,統計部調整課,東京都総務局 統計部調整課
779,  東京都統計年鑑 平成28年 人口・世帯  【東京都総務局】 ,/dataset/t000003d0000000048,東京都総務局,統計部調整課,東京都総務局 統計部調整課
780,  東京都区市町村年報　東京都区市町村年報2015（第43号）  【東京都総務局】 ,/dataset/t000003d1700000105,東京都総務局,行政部区政課,東京都総務局 行政部区政課
781,  東京都消防広域化推進計画  【東京都総務局】平成20年3月に策定した、東京都消防広域化推進計画のデータです。 ,/dataset/t000003d1700000039,東京都総務局,総合防災部防災管理課,東京都総務局 総合防災部防災管理課
782,  東京都区市町村年報2016  【東京都総務局】 ,/dataset/t000003d1700000004,東京都総務局,行政部,東京都総務局 行政部
783,  東京都世帯数の予測  【東京都総務局】 ,/dataset/t000003d0000000035,東京都総務局,統計部人口統計課,東京都総務局 統計部人口統計課
784,  東京都区市町村年報2015  【東京都総務局】 ,/dataset/t000003d0000000003,東京都総務局,行政部,東京都総務局 行政部
785,  東京都統計年鑑 平成29年　人口・世帯  【東京都総務局】 ,/dataset/t000003d0000000068,東京都総務局,統計部調整課,東京都総務局 統計部調整課
786,  地域・年齢別人口  【清瀬市】地域ごとの年齢別人口です。 ,/dataset/t132217d0000000012,清瀬市,清瀬市市民環境部市民課,清瀬市 清瀬市市民環境部市民課
787,  新宿区の令和3年町丁別世帯数及び男女別人口情報  【新宿区】年月毎の町丁別世帯数及び男女別人口情報です。 ,/dataset/t131041d0000000046,新宿区,地域振興部地域コミュニティ課,新宿区 地域振興部地域コミュニティ課
788,  中央区の人口データ  区内の人口について月ごとに掲載しています。 ,/dataset/t131024d0000000018,中央区,区民部区民生活課,中央区 区民部区民生活課
789,  令和3年7月1日現在人口（地区別）  令和3年7月1日現在人口（地区別） ,/dataset/t131091d0000000074,品川区,地域振興部地域活動課,品川区 地域振興部地域活動課
790,  世帯と人口  世帯と人口 ,/dataset/t131091d0000000073,品川区,地域振興部地域活動課,品川区 地域振興部地域活動課
791,  男女・年齢別人口  町丁目別および男女・年齢別人口 ,/dataset/t131091d0000000021,品川区,企画部情報推進課,品川区 企画部情報推進課
792,  東京都統計年鑑　平成31・令和元年　2　人口・世帯  【東京都総務局】 ,/dataset/t000003d0000000123,東京都総務局,統計部調整課,東京都総務局 統計部調整課
793,  保育施設等・子育て支援サービス紹介  【東京都福祉保健局】電子版父親ハンドブックの保育施設等・子育て支援サービス紹介 ,/dataset/t000010d1700000074,東京都福祉保健局,少子社会対策部家庭支援課子育て事業担当,東京都福祉保健局 少子社会対策部家庭支援課子育て事業担当
794,  人口動態統計  【東京都福祉保健局】 ,/dataset/t000010d0000000009,東京都福祉保健局,総務部総務課統計調査担当,東京都福祉保健局 総務部総務課統計調査担当
795,  令和２年国勢調査  【国分寺市】令和２年国勢調査データ ,/dataset/t132144d0000000001,国分寺市,政策部情報管理課,国分寺市 政策部情報管理課
796,  高齢者福祉施設一覧  【八王子市】福祉関連オープンデータ一覧 ,/dataset/t132012d0000000075,八王子市,福祉部介護保険課,八王子市 福祉部介護保険課
797,  指定介護事業所一覧  【八王子市】福祉関連オープンデータ一覧 ,/dataset/t132012d0000000074,八王子市,福祉部介護保険課,八王子市 福祉部介護保険課
798,  町丁別・年齢別・男女別人口および町丁別世帯数　2015年度～2019年度  住民基本台帳 ,/dataset/t131105d0000000022,目黒区,区民生活部戸籍住民課,目黒区 区民生活部戸籍住民課
799,  目黒区の人口・世帯数の予測  令和42（2060）年までの人口・世帯数の推計 ,/dataset/t131105d0000000056,目黒区,企画経営部政策企画課,目黒区 企画経営部政策企画課
800,  事業所内保育所  目黒区内の事業所内保育所の所在地、定員、開所時間、運営者等 ,/dataset/t131105d0000000054,目黒区,子育て支援部保育課,目黒区 子育て支援部保育課
801,  小規模保育所  目黒区内の小規模保育所の所在地、定員、開所時間、運営者等 ,/dataset/t131105d0000000053,目黒区,子育て支援部保育課,目黒区 子育て支援部保育課
802,  東京都認証保育所  目黒区内の東京都認証保育所の所在地、定員、開所時間、運営者等 ,/dataset/t131105d0000000052,目黒区,子育て支援部保育課,目黒区 子育て支援部保育課
803,  街区別人口  マップ用額別人口（国勢調査2015） ,/dataset/t131105d0000000016,目黒区,情報政策推進部行政情報マネジメント課,目黒区 情報政策推進部行政情報マネジメント課
804,  町丁別・年齢別・男女別人口および町丁別世帯数　2010年度～2014年度  住民基本台帳 ,/dataset/t131105d0000000023,目黒区,区民生活部戸籍住民課,目黒区 区民生活部戸籍住民課
805,  町丁別・年齢別・男女別人口および町丁別世帯数　2019年度～2023年度  住民基本台帳 ,/dataset/t131105d0000000004,目黒区,区民生活部戸籍住民課,目黒区 区民生活部戸籍住民課
806,  年齢3区分人口（国勢調査）  マップ用街区別年齢3区分人口（国勢調査2015） ,/dataset/t131105d0000000017,目黒区,情報政策推進部行政情報マネジメント課,目黒区 情報政策推進部行政情報マネジメント課
807,  新宿区の新宿区を従業地とする就業者の従業する産業（中分類）別人口と割合対全国比（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000090,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
808,  新宿区の平成29年町丁別世帯数及び男女別人口情報  【新宿区】年月毎の町丁別世帯数及び男女別人口情報です。 ,/dataset/t131041d0000000091,新宿区,地域振興部地域コミュニティ課,新宿区 地域振興部地域コミュニティ課
809,  新宿区の平成30年町丁別世帯数及び男女別人口情報  【新宿区】年月毎の町丁別世帯数及び男女別人口情報です。 ,/dataset/t131041d0000000043,新宿区,地域振興部地域コミュニティ課,新宿区 地域振興部地域コミュニティ課
810,  新宿区の令和2年町丁別世帯数及び男女別人口情報  【新宿区】年月毎の町丁別世帯数及び男女別人口情報です。 ,/dataset/t131041d0000000045,新宿区,地域振興部地域コミュニティ課,新宿区 地域振興部地域コミュニティ課
811,  新宿区の令和3年度保育園子ども園（認証）一覧  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000054,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
812,  新宿区の令和2年度保育園子ども園（認証）一覧  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000053,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
813,  新宿区の平成31年度保育園子ども園（認証）一覧  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000052,新宿区,子ども家庭部保育課,新宿区 子ども家庭部保育課
814,  新宿区の平成30年度保育園子ども園（認証）一覧  【新宿区】保育園子ども園の一覧です。 ,/dataset/t131041d0000000051,新宿区,子ども家庭部保育指導課,新宿区 子ども家庭部保育指導課
815,  新宿区の町丁別65歳以上人口と高齢単身者（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000041,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
816,  新宿区の町丁別単独世帯数（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000040,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
817,  新宿区の町丁別外国人人口（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000039,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
818,  新宿区の特別出張所地域別高齢単身者と65歳以上人口に占める割合（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000038,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
819,  新宿区の特別出張所地域別世帯の家族類型別世帯数（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000037,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
820,  新宿区の特別出張所地域別外国人人口と地域人口に占める割合（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000036,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
821,  新宿区の母子世帯の母及び女性全体の年齢5歳階級別労働力状態別人口及び労働力率（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000034,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
822,  新宿区の配偶関係別年齢5歳階級別男女別親と「同居している」人口と割合（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000033,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
823,  新宿区の現住所における居住期間別人口（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000032,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
824,  新宿区の５年前の常住地・男女別人口（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000031,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
825,  新宿区の昼間人口・夜間人口と昼夜間人口比率の推移（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000030,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
826,  新宿区の流出・流入地域別15歳以上就業者・通学者数の推移（2015年国勢調査）  【新宿区】2015年国勢調査における新宿区の人口データです。 ,/dataset/t131041d0000000029,新宿区,新宿自治創造研究所担当部新宿自治創造研究所担当課,新宿区 新宿自治創造研究所担当部新宿自治創造研究所担当課
