ID,title,outline,collecting_cost,sharing_policy,type,variable,analysis,outcome,anticipation,comments,wanted
6667,年間収入階級別１単身世帯当たり１か月間の収入と支出 ,単身世帯の家計の収支ごとの貯蓄・負債、耐久消費財、住宅・宅地などの家計資産を総合的にまとめたもの。消費・所得・資産に係る水準、構造、分布などを明らかにする。,調査員が調査票を配布し，調査世帯で記入した後に調査員が回収する方法 / 郵送 / オンライン,一般的に共有してよい,数値.表,集計世帯数|世帯数分布（抽出率調整 ）|世帯数分布（抽出率調整）（1万分比）|年齢|持ち家率(現住居)|家賃・地代を支払っている世帯の割合|現住居の延べ床面積|自動車保有台数|自動車保有率|年間収入|消費支出|食料|穀類|米|パン|麺類|他の穀類|魚介類|生鮮魚介|塩干魚介|魚肉練製品|他の魚介加工品|肉類|生鮮肉|加工肉|乳卵類|牛乳|乳製品|卵|野菜・海藻|生鮮野菜|乾物・海藻|大豆加工品|他の野菜・海藻加工品|果物|生鮮果物|果物加工品|油脂・調味料|油脂|調味料|菓子類|調理食品|主食的調理食品|他の調理食品|飲料|茶類|コーヒー・ココア|他の飲料|酒類|外食|賄い費|住居|家賃地代|(特掲)家賃|設備修繕・維持|設備材料|工事|その他のサービス|光熱・水道|電気代|ガス代|他の光熱|上下水道料|家具・家事用品|家庭用耐久財|家事用耐久財|冷暖房用器具|一般家具|室内装備・装飾品|寝具類|家事雑貨|家事用消耗品|家事サービス|被服及び履物|和服|洋服|男子用洋服|婦人用洋服|子供用洋服|シャツ・セーター類|男子用シャツ・セーター類|婦人用シャツ・セーター類|子供用シャツ・セーター類|下着類|男子用下着類|婦人用下着類|子供用下着類|生地・糸類|他の被服|履物類|被服関連サービス|保健医療|医薬品|健康保持用摂取品|保健医療用品・器具|保健医療サービス|(特掲)医科診療代|交通・通信|交通|自動車等関係費|自動車等購入,収入が説明変数となるような目的変数を回帰分析などを用いて見つける。また、収入に占める、支出に関する各変数の割合を分析する。,外食費や自動車購入費など、奢侈財と考えられるものは収入が説明変数となることが考えられる。また、収入が低いほど、支出に占める食費の割合（エンゲル係数）が高くなることも予想される。,このデータを用いて収入と支出の関係を分析することによって、現在話題のクーポン券について、何に対するクーポン券を発行することが有効なのかがわかる。,,
6666,1月6日の東京都の新型コロナウイルスに関するデータ,陽性者数：641人検査件数：9、966件2回目のワクチンの累計接種者数：10、270、480人,医療機関と保健所からの発生届による報告を東京都が集計,一般的に共有してよい,数値,陽性者数｜検査件数｜2回目のワクチンの累計接種者数｜日付,オミクロン株の割合と日別感染者数の相関関係外出者数と相関があると考えられる値(公共交通機関の利用者数など)と日別感染者数の相関関係,感染力の高いオミクロン株の割合が高いほうが日別感染者数が多いと考えられる。外出者数が多いほうが日別感染者数が多いと考えられる。,外出者数と相関があると考えられる値と日別感染者数の関係を過去のデータまでさかのぼって調べることで、外出制限に関する政策の適切な運用方法がわかるかもしれない。,,
6664,インスタントラーメンの格付け,さまざまな国で生産されたインスタントラーメンを、ラーメン愛好家たちのレビューをもとに5点満点で評価している。,ラーメン愛好家のレビューによる,一般的に共有してよい,表,ブランド名｜味の種類｜タイプ（カップ、パック、トレー)｜国名｜評価,インスタントラーメンの評価に与える影響はどの変数が大きいのかを回帰分析などの手法で分析する。,評価の高いラーメンを生産している国や地域｜評価の高いラーメンのタイプ（カップ、パック、トレー)｜評価の高いラーメンのフレーバー,インスタントラーメンを購入する際に参考にするだけでなく、企業が新商品を開発する時に活用できるかもしれない,,
6662,腕立て伏せに関するパーソナルデータ,腕立て伏せをしたときの回数、時間、時間帯、心拍数、血中酸素濃度に関するデータ。,心拍数、血中酸素濃度はApple Watchを用いて計測される,未定,数値.時系列,回数|トレーニング時間|実施時間帯|心拍数|血中酸素濃度|時間,回数、実施時間帯を固定して時系列とともにその他の変数の変化を観察する。シミュレーションは行わない。,継続的なトレーニングによってどれほど腕立て伏せができるようになるかを検証する。トレーニング時間、心拍数は下がり、血中酸素濃度は下がらなくなると予想される。,,,体脂肪率、筋肉量など
6661,平成29年度都道県別教育費調査,平成29年度に都道県別の行政が生涯学習関連施設に対してどれほど投資したかのデータ,各都道府県が収集,一般的に共有してよい,表,都道府県｜総額｜体育施設｜青少年施設｜女性関連施設｜文化会館｜その他の生涯学習関連施設,,,,,
6660,睡眠時間について,入眠時間と起床時間を記録します。,スマホアプリで記録する,条件により共有可（必要に応じて交渉）,時系列.表,前回の睡眠時間｜起きていた時間｜入眠時間｜起床時間,目覚まし時計は使わない自然な起床を前提にする。,前回の睡眠時間が短く、起きていた時間が長いほど長い睡眠をとる結果を予想する。,最適な入眠時間、起床時間などもわかるかもしれない,,
6659,名画データ,推定価格しか分からない絵画(博物館で保管されていて売却される見込みのない絵画。レオナルドダヴィンチのモナ・リザなど)を除いた絵画のうち、高額で落札された絵画の情報を示す。いわゆる名画とされている絵画の諸情報を改めて分析することで名画を名画たらしめているものはなんであるのかを探ることができる。落札価格の大きさの要因は絵の中の情報にあるのか、絵の内容を超えた部分に関する希少価値にあるのか探る。,落札情報サイト等による,条件により共有可（必要に応じて交渉）,テキスト.数値.画像.表,落札価格|描かれた年代|買い取られた年代|作者名|作者の出身国|描かれている対象|派|新技法の有無|画材|大きさ|ジャンル|発見された場所|構図|メインの色|色の種類|,各変数のうち複数の絵画において落札価格に影響を及ぼしている変数を探す。必要があれば回帰分析で有意な変数を求める。,絵画の落札価格は絵の色合いや使用された画材といった絵画の内容ではなく、作者や使われた技法の画期的さなどによって生じる希少価値を説明変数としている。,絵画そのものの情報と絵画に関連する情報のどちらが落札価格に影響を及ぼしているのかを考えているが、オークションの形式や盛り上がり、当日の会場や天気などの情報が落札価格に影響を与えている可能性があるのでその情報を踏まえた分析ができるかもしれない。,,作者の知名度を数値化したデータ、色合いや構図をどう表現するか
6657,世界幸福度報告,,世論調査による,一般的に共有してよい,テキスト.数値.表,国名|その国の幸福度の世界順位|国民の回答した自分の幸福度|GDPが幸福度の計算に寄与する程度|家族が幸福度の計算に寄与する程度|平均余命が幸福度の計算に寄与する程度|自由が幸福度の計算に寄与する程度|政府の汚職の認知が幸福度の計算に寄与する程度|寛容さが幸福度の計算に寄与する程度|ディストピア残差が幸福度の計算に寄与する程度|その国の箱ひげ図の最大値|その国の箱ひげ図の最大値,,,,,
6655,各都道府県のインフルエンザ報告数,厚生労働省が発表している、インフルエンザの報告数や定点医療機関あたりの患者数を表したデータである。これは週ごとに集計されており、毎週発表されている。一番最近の令和3年51週のデータを見てみると、その一週間全国でインフルエンザに罹った人数は49人で定点あたりにすると0.01となっている。,定点医療機関から収集,一般的に共有してよい,表,都道府県｜報告数｜定点あたり｜週,各週の各都道府県ごとの値をプロットして時間とともにどう変化しているかをグラフとして可視化し、将来の感染者数をシミュレーションする。,今年度に関していうとほぼゼロに近い人数になる,ここまでインフルの人数が減っているので、その原因を詳しく調べられそう。,,
6653,日本の部門別二酸化炭素排出量の推移,1990〜2019年度の日本における二酸化炭素排出量を部門別に分けてその推移を追ったもの。,国立環境研究所の報告書より,その他,グラフ.表,二酸化炭素排出量|年度|部門,2050年カーボンニュートラルに向けて必要な政策を考える上での参考になるかと考えた。,特に技術革新が必要な分野がわかる。,,,
6652,日本で流行した曲の推移,今では，定額制音楽配信サービスが広く普及したことにより，楽曲に関するデータが豊富に増えた。このデータでは，テンポと特に曲のサビのコード進行に注目して，流行した曲のコード進行の推移について見ていこうと思う。,楽曲のサブスクをしている Spotify や Apple music などの再生回数のデータを使用　,一般的に共有してよい,表,あるサビのコード進行(4小節分)を持つ曲の再生回数の総数|あるテンポ(bpm120-130など幅は10ごとに)を持つ曲の再生回数の総数|年(西暦)|,J-POPなどジャンルを絞り，登録されている曲全てを対象にして，トレンドとなっているコード進行や，テンポを持つ曲の再生回数の合計数をデータから求め，年ごとに表にして推移を可視化する。,今後流行すると予想される曲のコードやテンポを予測し，そのデータを生かして作曲を行い，よりヒットしそうな曲を生み出すことができる。（つまり，お金を稼げる）,,,
6651,世界各国の年別平均労働時間データ,世界各国の年別平均労働時間のデータ。どの場所でどの年代にどの程度人は働いているのか把握できる。,オープンソースから,一般的に共有してよい,数値.時系列,国名|国コード|年|労働時間,,,,,
6650,USでの職の満足度と年収,USでの50の職業の満足度(5段階評価)と年収のデータ(2015〜2021),survey by glassdoor,一般的に共有してよい,グラフ.数値.時系列,time(year) | job | salary | satisfaction | job_openings | rank, 満足度や年収の高い職種の時系列での移り変わり,年収が増加傾向にあるトレンドな職の発見,満足度と年収の関係,,
6649,Twitchの配信カテゴリの全世界での視聴時間ランキング（2021/12/31〜2022/1/8）,配信サイトであるTwitchでは、配信者が自身の配信にカテゴリ（例：配信でプレイしているゲームのタイトル）を設定する。本データは、2021/12/31〜2022/1/8の間に、全世界の累積視聴時間が大きかった上位10カテゴリを紹介するものである。,broadcastの分析サービスからの収集,一般的に共有してよい,表,タイトル|視聴時間数|ピーク時の視聴者数,,,日本でのカテゴリの視聴時間ランキングと比較することで、日本での流行がわかるかもしれない。ランキング上位のカテゴリをつけて配信したチャンネルを参照することで、インフルエンサーがわかるかもしれない。など,,
6647,肺炎患者の胸部レントゲン写真データ,このデータ集には肺炎患者1000人分の胸部レントゲン写真データおよびその患者の情報が収録されている。<br/>患者の情報に、新型コロナウイルスによる肺炎か、（新型コロナウイルスの場合）変異株の種類、併発症の症状、患者の年齢、患者の性別が含まれる。<br/>それぞれの変数は以下の値をとる。<br/>「新型コロナウイルスによる肺炎か」　　　Yes/No<br/>「変異株の種類」　　　　　　　　　　　　Alpha/Delta/Gamma/Beta/Mu/Omicron/NotCovid<br/>「併発症の症状」　　　　　　　　　　　　Headache/Cough/Fever/Dyspnea/Pain/TasteDisorders/SmellDisorders<br/>「性別」　　　　　　　　　　　　　　　　F/M<br/>「年齢」　　　　　　　　　　　　　　　　数値<br/>写真データは.png形式のファイルである。,レントゲン検査による,一般的に共有してよい,画像.表,胸部レントゲン写真｜新型コロナウイルスによる肺炎か｜（新型コロナウイルスの場合）変異株の種類｜併発症の有無｜患者の年齢｜患者の性別,深層学習による分析,新型コロナウイルスに感染しているかどうか,ウイルスの遺伝子検査を一々やるのが時間がかかるので、レントゲン写真から新型コロナウイルスのどの変異株に感染しているのかを判別できればありがたい。,,
6645,スマートフォンの使用時間,現代の生活に欠かせない存在であるスマートフォンの使用時間をデータとすることで依存度、種類などを分析する。,iPhone内の設定のスクリーンタイムより収集,共有不可,グラフ.数値.時系列,1日あたりの使用時間|ジャンルごとの使用時間|時間(年、月、週、日),,平日休日の比較、依存度の数値化,他人のデータとの比較,,
6643,日刊スポーツ賞シンザン記念についてのデータ,過去10年の単勝人気別成績、通算出走数別成績、前走別成績、,過去レースの記録,一般的に共有してよい,数値.表,成績、勝率、連帯率、3着内率,次レースの展開、勝ち馬を予想する,次レースで起こりそうな展開、勝ちやすそうな馬を得る,出走馬の脚質に関する分析,,当日の馬の調子、騎手の能力
6642,楽曲の特徴量,各楽曲の人気度と人気度に関わる可能性のある13つの特徴量に関するパラメーターが記載されている,文献からの収集,未定,表,アコースティック感｜踊れる曲かどうか｜秒数｜エネルギッシュさ｜インスト感｜ライブ感｜音量音圧｜マイナーコードかメジャーコードか｜言葉がどれくらい入っているか｜テンポ｜キー｜悲観的楽観的か｜相対的人気度,楽曲の人気度とその他13の特徴量の関係を導き出す,楽曲の特徴量から人気度を導き出せる。,,,
6639,私の日々の活動記録（歩数）,私のスマートフォンによって計測された日々の歩数の記録。外出する日には多くなり、丸一日自宅で授業を受けている際には少なくなる。過去一年以上のデータがある。,スマートフォンによる歩数計,共有不可,数値,歩数、日,シミュレーションは行わない。活動量と傾向の分析に使用する。,過去一年間の活動量と出来事のタイムラインを合わせることで最適な忙しさを見つける。,健康,,歩数に関する分析手法
6638,私の睡眠のデータ,毎日の睡眠のデータです。睡眠の質がグラフ化されており、睡眠時間や中途覚醒の回数などが分かります。,スマートフォンのアプリ,共有不可,グラフ.時系列,時間（年、月、日、時、分）、睡眠の質,スマートフォンのスクリーンタイムと合わせて一日の覚醒時間でスマートフォンを触っている時間の割合が分かる。またスマートフォンの使用が睡眠の質に影響を与えるか分かる。,想像以上にスマートフォンを触っていそう。,睡眠の質の季節変化。気温への依存性。,,
6637,私の一日の歩数,2021/5/12~2022/1/8の投稿者のの歩数の記録,地震のスマホにより測定,条件により共有可（必要に応じて交渉）,時系列,歩数|日付,時系列分析,休日が多いなど,平日の曜日ごとに有意差はあるか,,
6636,日本の大学生のゲームプレイ時間,「大学生は人生における夏休み」といわれるように、大学生になると今までと比べて趣味に使える時間が長くなる。一方で、大学生になったことでできる遊びの幅も増える。そんな中で、大学生はどれだけの時間をゲームに費やしているのか、というデータ。,アンケート調査による,一般的に共有してよい,テキスト.数値,大学名|学部|学年|性別|ゲームのプレイ時間|ゲームのジャンル,シミュレーションは行わず、分析のみ行う。,どんなジャンルをどれだけプレイしているかによって、ゲーム会社が大学生をターゲットにゲームを作る際の参考になる。,因果関係があるかは別として、「頭のいいひとは（特定のジャンル名）のゲームをよくプレイしている」という主張ができる。,,
6635,通信事業者の顧客情報,ある通信事業者の10万人の顧客情報であり、解約の有無、サービス使用状況や顧客のステータスなど100の変数からなる。,通信業者のログによる,条件により共有可（必要に応じて交渉）,数値.表,平均月使用額 | 平均月使用時間 | 平均サブスク月額 | 平均電話番号案内回数 | 平均超過時間 | 平均超過料金 | 平均通話超過料金 | 平均データ通信超過料金 | 平均エリア外通信回数 | 月間使用時間の3ヶ月前との変化率 | 月間課金の3ヶ月前との変化率 | 平均通話の切断回数 | 平均データ通信の切断回数 | 平均通話の不通回数 | 平均データ通信の不通回数 | 平均通話の未応答回数 | 平均データ通信の未応答回数 | 平均通話の発信回数 | 平均データ通信の発信回数 | 平均通話の受信回数 | 平均SMS受信回数 | 平均通話の完了回数 | 平均データ通信の完了回数 | 平均カスタマーケアコール回数 | 平均カスタマーケアコール時間（四捨五入） | 平均カスタマーケアコール時間 | 平均1分未満問い合わせ電話の回数 | 三者通話回数 | 平均通話(完了)時間 | 平均データ通信(完了)時間 | 平均通話(受信)時間 | 平均on_通話(無線)回数 | 平均on_通話(無線)時間 | (平均in_通話(無線)回数) | 平均in_通話(無線)時間 | 平均in_out_通話ピーク使用回数 | 平均データ通信ピーク使用回数 | 平均in_out_通話ピーク使用時間 | 平均通話ピーク使用時間 | 平均(in_out_)通話オフピーク回数 | 平均データ通信オフピーク回数 | 平均(in_out_)通話オフピーク使用時間 | 平均データ通信オフピーク使用時間 | 平均call切断不通回数 | 平均call試み回数 | 平均call完了回数 | 平均call転送回数 | 平均call待ち回数 | 31日-60日の間に解約 | 総利用月数 | 利用人数 | 有効人数 | 新しいユーザーかどうか | クレカクラスコード | 口座り用限度額 | 総call回数 | 総使用時間 | 総使用額 | 総使用額(調整済) | 総使用時間(調整済) | 総call回数(調整済) | 平均月料金(生涯ベース) | 平均月使用時間(生涯ベース) | 平均月call回数(生涯ベース) | 平均月使用時間(3ヶ月) | 平均月call回数(3ヶ月) | 平均月料金(3ヶ月) | 平均月call回数(6ヶ月) | 平均月料金(6ヶ月) | 平均月使用時間(6ヶ月) | Social group letter only | 地域 | Dualband | 携帯が中古or新品 | 現在の携帯電話機価格 | 端末数 | モデル数 | Handset | web | capability端末のウェブ機能 | Truck指標 | RV指標 | 持家or賃貸 | 住居年数 | 住居タイプ | 婚姻状況 | 世帯の大人の人数 | InfoBase match | 推定収入 | 所有車両台数 | プレミア世帯の指標 | 住居の広さ | 海外旅行経験の有無 | 人種 | 0-2歳の子供の有無 | 3-5歳の子供の有無 | 6-10歳の子供の有無 | 11-15歳の子供の有無 | 16-17歳の子供の有無 | クレカの有無 | 現行機器の年数 | ID,機械学習によりモデルを作成し、ビジネスプランの変更をした時のどれほど有効か分析をする。,顧客の解約に影響することは何かを分析する。（顧客の解約の有無を表すカラムを説明変数とする機械学習モデルを作り、各変数の重要度をみる。）,顧客一人当たりから得られる金額をあげるために必要なことを分析する。,,なぜ顧客が解約をしたかを聞いたアンケート
