Sentence,User,Answer,Keyword
"企業はふるさと納税獲得に向けた取り組みを団地をキーワードにタブロイド紙を作成しています。行政内の理解や議会承認が必要になります。また、企業や団体側からすると、竹山団地やすすきの団地の取り組みは、Ｊリーグが活用する企業版ふるさと納税同様にイメージしやすく、税金を納める理由の一つになると思っています。

事例イメージ
https://furu-con.jp/projects/609/detail

https://sports.yahoo.co.jp/official/detail/202302090068-spnaviow

https://www.city.yokohama.lg.jp/city-info/seisaku/torikumi/sousei/sousei-ouen/kigyo-furusato.html",NPO法人KUSC・神奈川大学サッカー部藤森,4,団地を活用したふるさと納税獲得の取り組み
自立型経済都市として自立し、愛を持って人や物とか関わりを持てる街,コミュニティデザイン・ラボ　町山,1,自立型経済都市として愛を持つ街
共創案件のブリッジ人材,コミュニティデザイン・ラボ　町山,2,共創案件のブリッジ人材
自立事業としての案件成功数、経済的（雇用率等含む）な結果,コミュニティデザイン・ラボ　町山,3,自立事業としての案件成功数、経済的（雇用率等含む）な結果
ポケモンや、ガンダム等のインパクトのある事業（関係人口の増加含む）,コミュニティデザイン・ラボ　町山,4,ポケモンやガンダムなどの人気事業
18区それぞれに特徴があるので、中区、西区の中心だけでなく、その彩り豊かな特徴を出し合えるまち,とつかリビングラボ,1,神戸市の18区はそれぞれ特色があり、多様な魅力を持つまち
それぞれに特徴を活かしあえる情報発信基地,とつかリビングラボ,2,それぞれに特徴を活かしあえる情報発信基地
Well-being指標で図る。市民総幸福量の創設など。,とつかリビングラボ,3,Well-being指標で図る。市民総幸福量の創設など。
人口減少社会でも、明るく仲良く、行ってみたい、住んでみたいまちとなるためにも、みんながまちづくりに参加できる形を模索していきたい,とつかリビングラボ,4,人口減少社会のまちづくりに参加しよう
企業と市民が共に助け合い地域の課題に立ち向かう先駆的な街,ミッキー,1,企業と市民が共に助け合い地域の課題に立ち向かう先駆的な街
自治体ニーズと企業シーズの触媒役,ミッキー,2,自治体ニーズと企業シーズの触媒役
実証実験数、寄付件数、寄付金額,ミッキー,3,実証実験数、寄付件数、寄付金額
触媒役をできる人財育成。具体的には、中小企業診断士資格保有者で企業内にいる（独立していない）診断士に実務経験を積んでもらう場を提供していくための研修,ミッキー,4,中小企業診断士の実務経験を積むための研修プログラム
エコロジーとテクノロジーとの共生、人と人のコミュニケーションリテラシーの向上,いよいよ,1,エコとテクノの共生と人々のコミュニケーション向上
リビングラボ全体のボトムアップとリブランディング、CSRのように一般化させるために地域貢献企業認定制度などのスキームを作りたい,いよいよ,2,地域貢献企業認定制度の創設
スキームが構築できた時,いよいよ,3,スキームが構築できた時
